algorithm,arrType,n,dominantOps
quickSort,sortedInReverse,24,47
quickSort,randomOrder,24,29
linearSearch,sorted,25,5
linearSearch,sortedInReverse,25,25
linearSearch,randomOrder,25,25
binarySearch,sorted,25,5
bubbleSort,sorted,25,24
bubbleSort,sortedInReverse,25,300
bubbleSort,randomOrder,25,299
insertSort,sorted,25,24
insertSort,sortedInReverse,25,324
insertSort,randomOrder,25,158
quickSort,sorted,25,49
quickSort,sortedInReverse,25,49
quickSort,randomOrder,25,35
linearSearch,sorted,26,10
linearSearch,sortedInReverse,26,26
linearSearch,randomOrder,26,26
binarySearch,sorted,26,5
bubbleSort,sorted,26,25
bubbleSort,sortedInReverse,26,325
bubbleSort,randomOrder,26,310
insertSort,sorted,26,25
insertSort,sortedInReverse,26,350
insertSort,randomOrder,26,230
quickSort,sorted,26,51
quickSort,sortedInReverse,26,51
quickSort,randomOrder,26,33
linearSearch,sorted,27,22
linearSearch,sortedInReverse,27,27
linearSearch,randomOrder,27,27
binarySearch,sorted,27,4
bubbleSort,sorted,27,26
bubbleSort,sortedInReverse,27,351
bubbleSort,randomOrder,27,345
insertSort,sorted,27,26
insertSort,sortedInReverse,27,377
insertSort,randomOrder,27,228
quickSort,sorted,27,53
quickSort,sortedInReverse,27,53
quickSort,randomOrder,27,39
linearSearch,sorted,28,28
linearSearch,sortedInReverse,28,28
linearSearch,randomOrder,28,28
binarySearch,sorted,28,5
bubbleSort,sorted,28,27
bubbleSort,sortedInReverse,28,378
bubbleSort,randomOrder,28,375
insertSort,sorted,28,27
insertSort,sortedInReverse,28,405
insertSort,randomOrder,28,162
quickSort,sorted,28,55
quickSort,sortedInReverse,28,55
quickSort,randomOrder,28,39
linearSearch,sorted,29,13
linearSearch,sortedInReverse,29,29
linearSearch,randomOrder,29,6
binarySearch,sorted,29,4
bubbleSort,sorted,29,28
bubbleSort,sortedInReverse,29,406
bubbleSort,randomOrder,29,400
insertSort,sorted,29,28
insertSort,sortedInReverse,29,434
insertSort,randomOrder,29,207
quickSort,sorted,29,57
quickSort,sortedInReverse,29,57
quickSort,randomOrder,29,41
linearSearch,sorted,30,18
linearSearch,sortedInReverse,30,30
linearSearch,randomOrder,30,25
binarySearch,sorted,30,5
bubbleSort,sorted,30,29
bubbleSort,sortedInReverse,30,435
bubbleSort,randomOrder,30,432
insertSort,sorted,30,29
insertSort,sortedInReverse,30,464
insertSort,randomOrder,30,259
quickSort,sorted,30,59
quickSort,sortedInReverse,30,59
quickSort,randomOrder,30,43
linearSearch,sorted,31,10
linearSearch,sortedInReverse,31,31
linearSearch,randomOrder,31,31
binarySearch,sorted,31,4
bubbleSort,sorted,31,30
bubbleSort,sortedInReverse,31,465
bubbleSort,randomOrder,31,437
insertSort,sorted,31,30
insertSort,sortedInReverse,31,495
insertSort,randomOrder,31,262
quickSort,sorted,31,61
quickSort,sortedInReverse,31,61
quickSort,randomOrder,31,43
linearSearch,sorted,32,11
linearSearch,sortedInReverse,32,32
linearSearch,randomOrder,32,32
binarySearch,sorted,32,5
bubbleSort,sorted,32,31
bubbleSort,sortedInReverse,32,496
bubbleSort,randomOrder,32,451
insertSort,sorted,32,31
insertSort,sortedInReverse,32,527
insertSort,randomOrder,32,285
quickSort,sorted,32,63
quickSort,sortedInReverse,32,63
quickSort,randomOrder,32,43
linearSearch,sorted,33,10
linearSearch,sortedInReverse,33,33
linearSearch,randomOrder,33,33
binarySearch,sorted,33,4
bubbleSort,sorted,33,32
bubbleSort,sortedInReverse,33,528
bubbleSort,randomOrder,33,522
insertSort,sorted,33,32
insertSort,sortedInReverse,33,560
insertSort,randomOrder,33,289
quickSort,sorted,33,65
quickSort,sortedInReverse,33,65
quickSort,randomOrder,33,47
linearSearch,sorted,34,31
linearSearch,sortedInReverse,34,34
linearSearch,randomOrder,34,34
binarySearch,sorted,34,5
bubbleSort,sorted,34,33
bubbleSort,sortedInReverse,34,561
bubbleSort,randomOrder,34,551
insertSort,sorted,34,33
insertSort,sortedInReverse,34,594
insertSort,randomOrder,34,309
quickSort,sorted,34,67
quickSort,sortedInReverse,34,67
quickSort,randomOrder,34,47
linearSearch,sorted,35,22
linearSearch,sortedInReverse,35,35
linearSearch,randomOrder,35,35
binarySearch,sorted,35,3
bubbleSort,sorted,35,34
bubbleSort,sortedInReverse,35,595
bubbleSort,randomOrder,35,580
insertSort,sorted,35,34
insertSort,sortedInReverse,35,629
insertSort,randomOrder,35,324
quickSort,sorted,35,69
quickSort,sortedInReverse,35,69
quickSort,randomOrder,35,47
linearSearch,sorted,36,1
linearSearch,sortedInReverse,36,36
linearSearch,randomOrder,36,27
